keys,en,es
reflections_defer_after_scene_commit_us,reflections_defer_after_scene_commit_us,Retrasar reflexiones tras commit de escena (us)
current_baked_listener,current_baked_listener,Oyente horneado actual
exclude_from_debug,exclude_from_debug,Excluir de depuración
occlusion_samples,occlusion_samples,Muestras de oclusión
reflections_eq_high,reflections_eq_high,Ecualización de reflexiones alta
air_absorption_high,air_absorption_high,Absorción de aire alta
reverb_bus_wet_ring_underrun_zero_fill,reverb_bus_wet_ring_underrun_zero_fill,Llenar con ceros en subdesbordamiento de reverb
attenuation_curve,attenuation_curve,Curva de atenuación
bake_num_threads,bake_num_threads,Número de hilos de horneado
audio_source_node,audio_source_node,Nodo de fuente de audio
pathing_binaural,pathing_binaural,Binaural de trazado
player_config,player_config,Configuración del reproductor
reflections_mix_level,reflections_mix_level,Nivel de mezcla de reflexiones
air_absorption_input,air_absorption_input,Entrada de absorción de aire
occlusion_input,occlusion_input,Entrada de oclusión
probe_data,probe_data,Datos de las sondas
static_scene_asset,static_scene_asset,Recurso de escena estática
absorption_high,absorption_high,Absorción alta
attenuation_mode,attenuation_mode,Modo de atenuación
debug_occlusion,debug_occlusion,Depurar oclusión
transmission,transmission,Transmisión
absorption_low,absorption_low,Absorción baja
ambisonic_orientation_node,ambisonic_orientation_node,Nodo de orientación de ambisónicos
reverb_binaural_override,reverb_binaural_override,Sobrescribir binaural de reverb
height_above_floor,height_above_floor,Altura sobre el suelo
realtime_bounces,realtime_bounces,Rebotes en tiempo real
reverb_bus_name,reverb_bus_name,Nombre del bus de reverberación
input_is_sn3d,input_is_sn3d,Entrada es SN3D
playback_parameter_min_interval,playback_parameter_min_interval,Intervalo mínimo de parámetros de reproducción
show_geometry_override_in_viewport,show_geometry_override_in_viewport,Mostrar sobrescritura en vista
direct_binaural_override,direct_binaural_override,Sobrescribir binaural directo
occlusion_value,occlusion_value,Valor de oclusión
bake_listeners,bake_listeners,Oyentes de horneado
max_reverb_duration,max_reverb_duration,Duración máxima de reverberación
directivity_value,directivity_value,Valor de directividad
current_baked_source,current_baked_source,Fuente horneada actual
master_mix_level,master_mix_level,Nivel de mezcla maestro
reflections_adaptive_ray_recover_frac,reflections_adaptive_ray_recover_frac,Fracción de recuperación de rayos adaptativos de reflexiones
scene_name_when_exported,scene_name_when_exported,Nombre de la escena al exportar
hybrid_reverb_overlap_percent,hybrid_reverb_overlap_percent,Porcentaje de solapamiento de reverb híbrida
max_transmission_surfaces_override,max_transmission_surfaces_override,Sobrescribir superficies de transmisión máximas
bake_pathing_vis_range,bake_pathing_vis_range,Rango de visibilidad para trazado horneado
data,data,Datos
find_alternate_paths,find_alternate_paths,Buscar rutas alternativas
channel_streams,channel_streams,Canales de flujo de audio
listener_valid,listener_valid,Oyente válido
bake_config,bake_config,Configuración de horneado
pathing_binaural_override,pathing_binaural_override,Sobrescribir binaural de trazado
perspective_factor,perspective_factor,Factor de perspectiva
baked_reverb_use_listener_probe,baked_reverb_use_listener_probe,Reverberación horneada usa sonda del oyente
hrtf_volume_db,hrtf_volume_db,Volumen de HRTF (dB)
bake_pathing_radius,bake_pathing_radius,Radio de trazado horneado
bake_pathing_threshold,bake_pathing_threshold,Umbral de trazado horneado
pathing_normalize_eq,pathing_normalize_eq,Ecualización de normalización de trazado
max_simulation_sources,max_simulation_sources,Máximo de fuentes en simulación
hybrid_reverb_transition_time,hybrid_reverb_transition_time,Tiempo de transición de reverb híbrida
pathing_mix_level,pathing_mix_level,Nivel de mezcla de trazado
transmission_input,transmission_input,Entrada de transmisión
export_hash,export_hash,Hash de exportación
norm_type,norm_type,Tipo de normalización
physics_ray_batch_size,physics_ray_batch_size,Tamaño de lote de rayos de física
source_radius,source_radius,Radio de la fuente
enable_debug,enable_debug,Habilitar depuración
bus_override,bus_override,Sobrescribir bus
reflections_adaptive_decay_per_sec,reflections_adaptive_decay_per_sec,Decaimiento adaptativo de reflexiones por segundo
debug_reflections,debug_reflections,Depurar reflexiones
realtime_num_diffuse_samples,realtime_num_diffuse_samples,Muestras difusas en tiempo real
path_validation_enabled,path_validation_enabled,Validación de ruta habilitada
playback_coeff_smoothing_time,playback_coeff_smoothing_time,Tiempo de suavizado de coeficientes
batch_source_updates,batch_source_updates,Actualizaciones de fuente en lote
reflections_enabled,reflections_enabled,Reflexiones habilitadas
simulation_cpu_cores_percent,simulation_cpu_cores_percent,Porcentaje de núcleos de CPU para simulación
pathing_sim_interval,pathing_sim_interval,Intervalo de simulación de trazado
geometry_override,geometry_override,Sobrescribir geometría
use_bed_scene_orientation,use_bed_scene_orientation,Usar orientación de escena base
reflections_adaptive_step_sec,reflections_adaptive_step_sec,Paso en segundos adaptativo de reflexiones
apply_output_gain,apply_output_gain,Aplicar ganancia de salida
spacing,spacing,Espaciado
convolution_ir_max_samples,convolution_ir_max_samples,Muestras máximas de IR de convolución
listener_camera,listener_camera,Cámara del oyente
rotation_enabled,rotation_enabled,Rotación habilitada
output_reverb,output_reverb,Salida de reverberación
scattering,scattering,Dispersión
direct_binaural,direct_binaural,Binaural directo
bake_ambisonics_order,bake_ambisonics_order,Orden ambisónico de horneado
directivity_power,directivity_power,Potencia de directividad
physics_ray_auto_exclude_collision_bodies,physics_ray_auto_exclude_collision_bodies,Auto-excluir cuerpos de colisión en rayos
pathing_probe_volume,pathing_probe_volume,Volumen de sondas para trazado
air_absorption_mid,air_absorption_mid,Absorción de aire media
pathing_enabled_override,pathing_enabled_override,Sobrescribir trazado de rutas habilitado
bake_pathing_num_samples,bake_pathing_num_samples,Muestras para trazado horneado
max_distance,max_distance,Distancia máxima
viz_probe_scale,viz_probe_scale,Escala de visualización de sondas
debug_pathing,debug_pathing,Depurar trazado de rutas
max_transmission_surfaces,max_transmission_surfaces,Superficies de transmisión máximas
air_absorption_low,air_absorption_low,Absorción de aire baja
reverb_bus_click_guard_enabled,reverb_bus_click_guard_enabled,Protección contra clics en reverb
pathing_enabled,pathing_enabled,Trazado de rutas habilitado
convert_animation_audio_tracks_at_runtime,convert_animation_audio_tracks_at_runtime,Convertir pistas de audio en ejecución
min_distance,min_distance,Distancia mínima
occlusion_type,occlusion_type,Tipo de oclusión
reflections_eq_low,reflections_eq_low,Ecualización de reflexiones baja
Baked,Baked,Baked
Realtime,Realtime,Realtime
Convolution,Convolution,Convolution
Parametric,Parametric,Parametric
Hybrid,Hybrid,Hybrid
TrueAudio Next (AMD GPU),TrueAudio Next (AMD GPU),TrueAudio Next (AMD GPU)
Inverse,Inverse,Inverso
Linear,Linear,Lineal
Curve,Curve,Curva
Disabled,Disabled,Desactivado
Enabled,Enabled,Habilitado
Simulation Defined,Simulation Defined,Definido por simulación
User Defined,User Defined,Definido por usuario
Use Global,Use Global,Usar global
Custom,Custom,Personalizado
Raycast,Raycast,Raycast
Volumetric,Volumetric,Volumétrico
Frequency Independent,Frequency Independent,Independiente de frecuencia
Frequency Dependent,Frequency Dependent,Dependiente de frecuencia
Listener-centric,Listener-centric,Centrado en el oyente
Source-centric,Source-centric,Centrado en la fuente
"Physics-ray occlusion preview (Godot collision only - not Steam Audio / Embree geometry).
For real audio occlusion debug, use ResonanceRuntime ""Debug Occlusion"" (native ray data).","Physics-ray occlusion preview (Godot collision only - not Steam Audio / Embree geometry).
For real audio occlusion debug, use ResonanceRuntime ""Debug Occlusion"" (native ray data).","Vista previa de oclusión por física de rayos (solo colisiones de Godot - no geometría de Steam Audio / Embree).
Para la depuración real de oclusión de audio, usa ""Debug Occlusion"" de ResonanceRuntime (datos de rayos nativos)."
Baked Reverb,Baked Reverb,Reverberación horneada
Baked Static Source,Baked Static Source,Fuente estática horneada
Baked Static Listener,Baked Static Listener,Oyente estático horneado
Nearest,Nearest,Más cercano
Bilinear,Bilinear,Bilineal
Use Godot Mix Rate,Use Godot Mix Rate,Usar frecuencia de mezcla de Godot
Auto,Auto,Automático
Mono,Mono,Mono
Stereo,Stereo,Estéreo
Quad,Quad,Quad
5.1,5.1,5.1
7.1,7.1,7.1
22050 Hz,22050 Hz,22050 Hz
44100 Hz,44100 Hz,44100 Hz
48000 Hz,48000 Hz,48000 Hz
96000 Hz,96000 Hz,96000 Hz
192000 Hz,192000 Hz,192000 Hz
256,256,256
512,512,512
1024,1024,1024
2048,2048,2048
8 Rays,8 Rays,8 rayos
16 Rays,16 Rays,16 rayos
32 Rays,32 Rays,32 rayos
64 Rays,64 Rays,64 rayos
128 Rays,128 Rays,128 rayos
256 Rays,256 Rays,256 rayos
512 Rays,512 Rays,512 rayos
1024 Rays,1024 Rays,1024 rayos
2048 Rays,2048 Rays,2048 rayos
4096 Rays,4096 Rays,4096 rayos
8192 Rays,8192 Rays,8192 rayos
FreqIndependent,FreqIndependent,Indep. de frecuencia
FreqDependent,FreqDependent,Dep. de frecuencia
Balanced,Balanced,Equilibrado
Default,Default,Por defecto
Embree,Embree,Embree
Radeon Rays,Radeon Rays,Radeon Rays
Custom (Godot Physics),Custom (Godot Physics),Personalizado (Física de Godot)
GPU,GPU,GPU
CPU,CPU,CPU
Any,Any,Cualquiera
Transmission Type Override,Transmission Type Override,Sobrescribir tipo de transmisión
Apply Occlusion To Baked Reflections Override,Apply Occlusion To Baked Reflections Override,Sobrescribir oclusión a reflexiones horneadas
Reflections Sampling Mode Override,Reflections Sampling Mode Override,Sobrescribir modo de muestreo de reflexiones
Perspective Correction Override,Perspective Correction Override,Sobrescribir corrección de perspectiva
Apply Performance Schedule Preset,Apply Performance Schedule Preset,Aplicar preajuste de rendimiento
AVX-512,AVX-512,AVX-512
AVX2,AVX2,AVX2
AVX,AVX,AVX
SSE4,SSE4,SSE4
SSE2,SSE2,SSE2
ResonanceServer not loaded,ResonanceServer not loaded,ResonanceServer no cargado
ResonanceServer not available,ResonanceServer not available,ResonanceServer no disponible
(No data),(No data),(Sin datos)
Performance Overlay,Performance Overlay,Superposición de rendimiento
ResonanceReverb,ResonanceReverb,ResonanceReverb
Apply HRTF,Apply HRTF,Aplicar HRTF
Input Is SN3D,Input Is SN3D,Entrada es SN3D
Gain dB,Gain dB,Ganancia (dB)
Volume dB,Volume dB,Volumen (dB)
HRTF SOFA Assets,HRTF SOFA Assets,Recursos de SOFA de HRTF
HRTF Interpolation Bilinear,HRTF Interpolation Bilinear,Interpolación bilineal de HRTF
Pathing Normalize EQ,Pathing Normalize EQ,Normalización de EQ de trazado
reflection_type,reflection_type,Tipo de reflexión
transmission_type_override,transmission_type_override,Sobrescribir tipo de transmisión
apply_occlusion_to_baked_reflections_override,apply_occlusion_to_baked_reflections_override,Sobrescribir oclusión a reflexiones horneadas
reflections_sampling_mode_override,reflections_sampling_mode_override,Sobrescribir modo de muestreo de reflexiones
perspective_correction_override,perspective_correction_override,Sobrescribir corrección de perspectiva
sample_rate_override,sample_rate_override,Sobrescribir frecuencia de muestreo
audio_frame_size,audio_frame_size,Tamaño de trama de audio
realtime_rays,realtime_rays,Rayos en tiempo real
apply_performance_schedule_preset,apply_performance_schedule_preset,Aplicar preajuste de rendimiento
scene_type,scene_type,Tipo de escena
nexus/nexus_resonance/logger/categories_enabled,Categories Enabled,Categorías habilitadas
nexus/nexus_resonance/logger/output_to_debug,Output To Debug,Enviar salida a depuración
nexus/nexus_resonance/logger/output_to_file,Output To File,Enviar salida a archivo
nexus/nexus_resonance/logger/file_path,File Path,Ruta del archivo
nexus/nexus_resonance/logger/steam_audio_verbose,Steam Audio Verbose,Steam Audio detallado
nexus/nexus_resonance/editor/auto_convert_animation_audio_on_save,Auto Convert Animation Audio On Save,Convertir audio automáticamente al guardar
nexus/nexus_resonance/bake/default_output_directory,Default Output Directory,Directorio de salida por defecto
nexus/nexus_resonance/export/static_scene_asset_format,Static Scene Asset Format,Formato del recurso de escena estática
nexus/nexus_resonance/export/probe_data_format,Probe Data Format,Formato de datos de sondas
nexus/nexus_resonance/accessibility/editor_tts,Editor Text-to-Speech (TTS),TTS del Editor (Texto a voz)
nexus/nexus_resonance/accessibility/runtime_debug_tts,Runtime Debug Text-to-Speech (TTS),TTS de depuración en ejecución
nexus/nexus_resonance/accessibility/tts_voice,Text-to-Speech Voice,Voz del TTS
nexus/nexus_resonance/accessibility/tts_volume,Text-to-Speech Volume,Volumen del TTS
nexus/nexus_resonance/accessibility/tts_speed,Text-to-Speech Speed,Velocidad del TTS
nexus/nexus_resonance/logger,Logger,Depuración y Logs
nexus/nexus_resonance/editor,Editor,Editor
nexus/nexus_resonance/bake,Bake,Horneado
nexus/nexus_resonance/export,Export,Exportar
nexus/nexus_resonance/accessibility,Accessibility,Accesibilidad
nexus/nexus_resonance,Nexus Resonance,Nexus Resonance
